 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    3.5139    2.0000   60.3836   51.3719    6.0790    2.2421    4.1620   24.5579  1.0000E-10     -0.3497  5.9460E-09
    3.5139    2.0000   60.3836   50.8581    6.0789    2.2452    4.1604   24.5587  1.0000E-10     -0.3497  2.2103E-09
    3.5139    2.0000   60.3836   50.3496    6.0789    2.2482    4.1589   24.5595  1.0000E-10     -0.3497  8.0740E-10
    3.5139    2.0000   60.3836   49.8461    6.0789    2.2510    4.1575   24.5603  1.0000E-10     -0.3497  2.8960E-10
    3.5139    2.0000   60.3836   49.3476    6.0788    2.2537    4.1561   24.5610  1.0000E-10     -0.3497  1.0190E-10
    3.5139    2.0000   60.3836   48.8541    6.0788    2.2562    4.1549   24.5617  1.0000E-10     -0.3497  3.5145E-11
    3.5139    2.0000   60.3836   48.3656    6.0788    2.2587    4.1536   24.5624  1.0000E-10     -0.3497  1.1869E-11
    3.5139    2.0000   60.3836   47.8819    6.0787    2.2610    4.1524   24.5630  1.0000E-10     -0.3497  3.9203E-12
    3.5139    2.0000   60.3836   47.4031    6.0787    2.2633    4.1513   24.5636  1.0000E-10     -0.3497  1.2650E-12
    3.5139    2.0000   60.3836   46.9291    6.0787    2.2655    4.1502   24.5642  1.0000E-10     -0.3497  3.9829E-13
    3.5139    2.0000   60.3836   46.4598    6.0786    2.2675    4.1492   24.5648  1.0000E-10     -0.3497  1.2218E-13
    3.5139    2.0000   60.3836   45.9952    6.0786    2.2695    4.1481   24.5653  1.0000E-10     -0.3497  3.6462E-14
    3.5139    2.0000   60.3836   45.5352    6.0786    2.2715    4.1472   24.5658  1.0000E-10     -0.3497  1.0567E-14
    3.5139    2.0000   60.3836   45.0799    6.0786    2.2733    4.1462   24.5663  1.0000E-10     -0.3497  6.9192E-15
    3.5140    2.0000   60.3836   44.6291    6.0785    2.2751    4.1453   24.5668  1.0000E-10     -0.3497  7.0214E-15
    3.5140    2.0000   60.3836   44.1828    6.0785    2.2769    4.1445   24.5673  1.0000E-10     -0.3497  7.1290E-15
    3.5140    2.0000   60.3836   43.7410    6.0785    2.2785    4.1436   24.5678  1.0000E-10     -0.3497  7.2421E-15
    3.5140    2.0000   60.3836   43.3036    6.0785    2.2801    4.1428   24.5682  1.0000E-10     -0.3497  7.3611E-15
    3.5140    2.0000   60.3836   42.8705    6.0784    2.2817    4.1420   24.5686  1.0000E-10     -0.3497  7.4860E-15
    3.5140    2.0000   60.3836   42.4418    6.0784    2.2832    4.1413   24.5690  1.0000E-10     -0.3497  7.6173E-15
    3.5140    2.0000   60.3836   42.0174    6.0784    2.2846    4.1406   24.5694  1.0000E-10     -0.3497  7.7551E-15
    3.5140    2.0000   60.3836   41.5972    6.0784    2.2860    4.1399   24.5698  1.0000E-10     -0.3497  7.8998E-15
    3.5140    2.0000   60.3836   41.1813    6.0784    2.2874    4.1392   24.5702  1.0000E-10     -0.3497  8.0518E-15
    3.5140    2.0000   60.3836   40.7694    6.0784    2.2887    4.1385   24.5706  1.0000E-10     -0.3497  8.2114E-15
    3.5140    2.0000   60.3836   40.3617    6.0783    2.2899    4.1379   24.5710  1.0000E-10     -0.3497  8.3791E-15
    3.5140    2.0000   60.3836   39.9581    6.0783    2.2911    4.1373   24.5713  1.0000E-10     -0.3497  8.5554E-15
    3.5140    2.0000   60.3836   39.5585    6.0783    2.2923    4.1367   24.5716  1.0000E-10     -0.3497  8.7407E-15
    3.5140    2.0000   60.3836   39.1630    6.0783    2.2934    4.1361   24.5720  1.0000E-10     -0.3497  8.9356E-15
    3.5140    2.0000   60.3836   38.7713    6.0783    2.2944    4.1356   24.5723  1.0000E-10     -0.3497  9.1407E-15
    3.5140    2.0000   60.3836   38.3836    6.0783    2.2955    4.1351   24.5726  1.0000E-10     -0.3497  9.3568E-15
    3.5140    2.0000   60.3836   37.9998    6.0782    2.2964    4.1346   24.5729  1.0000E-10     -0.3497  9.5845E-15
    3.5140    2.0000   60.3836   37.6198    6.0782    2.2974    4.1341   24.5732  1.0000E-10     -0.3497  9.8247E-15
    3.5140    2.0000   60.3836   37.2436    6.0782    2.2983    4.1337   24.5735  1.0000E-10     -0.3497  1.0078E-14
    3.5140    2.0000   60.3836   36.8712    6.0782    2.2991    4.1333   24.5738  1.0000E-10     -0.3497  1.0346E-14
    3.5140    2.0000   60.3836   36.5024    6.0782    2.2999    4.1329   24.5741  1.0000E-10     -0.3497  1.0630E-14
    3.5140    2.0000   60.3836   36.1374    6.0782    2.3007    4.1325   24.5744  1.0000E-10     -0.3497  1.0930E-14
    3.5140    2.0000   60.3836   35.7760    6.0782    2.3014    4.1321   24.5747  1.0000E-10     -0.3497  1.1249E-14
    3.5140    2.0000   60.3836   35.4183    6.0781    2.3020    4.1318   24.5749  1.0000E-10     -0.3497  1.1587E-14
    3.5140    2.0000   60.3836   35.0641    6.0781    2.3027    4.1315   24.5752  1.0000E-10     -0.3497  1.1947E-14
    3.5140    2.0000   60.3836   34.7135    6.0781    2.3032    4.1312   24.5755  1.0000E-10     -0.3497  1.2330E-14
    3.5140    2.0000   60.3836   34.3663    6.0781    2.3037    4.1309   24.5757  1.0000E-10     -0.3497  1.2739E-14
    3.5140    2.0000   60.3836   34.0227    6.0781    2.3042    4.1307   24.5760  1.0000E-10     -0.3497  1.3175E-14
    3.5140    2.0000   60.3836   33.6824    6.0781    2.3046    4.1305   24.5762  1.0000E-10     -0.3497  1.3643E-14
    3.5140    2.0000   60.3836   33.3456    6.0781    2.3050    4.1303   24.5765  1.0000E-10     -0.3497  1.4145E-14
    3.5140    2.0000   60.3836   33.0122    6.0781    2.3053    4.1301   24.5767  1.0000E-10     -0.3497  1.4684E-14
    3.5140    2.0000   60.3836   32.6820    6.0780    2.3056    4.1300   24.5769  1.0000E-10     -0.3497  1.5265E-14
    3.5140    2.0000   60.3836   32.3552    6.0780    2.3057    4.1299   24.5772  1.0000E-10     -0.3497  1.5893E-14
    3.5140    2.0000   60.3836   32.0317    6.0780    2.3059    4.1298   24.5774  1.0000E-10     -0.3497  1.6573E-14
    3.5140    2.0000   60.3836   31.7113    6.0780    2.3059    4.1298   24.5776  1.0000E-10     -0.3497  1.7311E-14
